school_name,status,store_count,latitude,longitude
국민대학교,폐업,2,"[37.610952044044744,37.608534722927587]","[126.99653273724338,127.00378850481535]"
한국성서대학교,영업/정상,2,"[37.656044135755764,37.64998909112245]","[127.05793268153407,127.0741172574272]"
중앙대학교,영업/정상,1,[37.504689967704131],[126.94857622858294]
한국성서대학교,폐업,2,"[37.651730516336336,37.650065492487037]","[127.07390658194076,127.0593272607496]"
한국외국어대학교,폐업,2,"[37.590327343356549,37.603116154844308]","[127.0554026568706,127.05967450048773]"
경희대학교,폐업,1,[37.590327343356549],[127.0554026568706]
한국체육대학교,폐업,1,[37.525993951049756],[127.13211316911566]
서울시립대학교,폐업,2,"[37.590327343356549,37.578106426268128]","[127.0554026568706,127.05504608231284]"
명지대학교 인문캠퍼스,영업/정상,1,[37.583230435035127],[126.92183553326925]
건국대학교,폐업,2,"[37.542235947364489,37.536058853401229]","[127.08198409966766,127.08030442250912]"
숙명여자대학교,폐업,1,[37.545032312821107],[126.96960612042551]
서울여자대학교,폐업,1,[37.627772876549571],[127.08759758274184]
서울과학기술대학교,폐업,2,"[37.627772876549571,37.6240183048515]","[127.08759758274184,127.07654607539773]"
총신대학교,폐업,1,[37.487409180386372],[126.97730595247035]
서경대학교,영업/정상,1,[37.619974474288064],[127.02254413419931]
서울시립대학교,영업/정상,1,[37.576508593362874],[127.05464625668584]
경기대학교,폐업,1,[37.564560202315235],[126.96249333948965]
추계예술대학교,폐업,1,[37.564560202315235],[126.96249333948965]
감리교신학대학교,폐업,1,[37.564560202315235],[126.96249333948965]
서강대학교,폐업,3,"[37.549855255146348,37.549240423002971,37.558308628781305]","[126.94142248017546,126.93475401453352,126.94272420809163]"
홍익대학교,폐업,1,[37.549240423002971],[126.93475401453352]
가톨릭대학교,영업/정상,1,[37.5847013663814],[127.00741541385813]
삼육대학교,폐업,1,[37.650523914380166],[127.11042437666704]
한성대학교,영업/정상,1,[37.5847013663814],[127.00741541385813]
장로회신학대학교,폐업,1,[37.547902300448442],[127.10278580992519]
강서대학교,영업/정상,1,[37.548768173347959],[126.85990067587827]
광운대학교,폐업,1,[37.617802852345861],[127.06567798763736]
가톨릭대학교,폐업,1,[37.586129218990784],[127.00683593880075]
한성대학교,폐업,1,[37.586129218990784],[127.00683593880075]
서울한영대학교,폐업,2,"[37.502664046398039,37.493305574363312]","[126.84604286140613,126.85555654870673]"
고려대학교,폐업,1,[37.594096592403496],[127.03173818400205]
성신여자대학교,폐업,1,[37.594096592403496],[127.03173818400205]
광운대학교,영업/정상,1,[37.619066920395511],[127.05471284292886]
서울대학교,영업/정상,1,[37.453358586532417],[126.95427232542772]
연세대학교,폐업,1,[37.558308628781305],[126.94272420809163]
덕성여자대학교,폐업,1,[37.648248418537207],[127.02030561363286]
서강대학교,영업/정상,1,[37.549504413356708],[126.93697571543429]
강서대학교,폐업,1,[37.554653388213211],[126.85836582019569]